underlying,upx,type,expiration,data_date,strike,bid,ask,implied_vol,delta,dly_opt_pnl,dly_dh_pnl
SPY,260.8299865722656,call,2018-04-20,2018-04-09,280,0.029999999329447746,0.03999999910593033,0.16539928584578384,0.012472517201017386,0.030000001192092896,0.02075116011011009
SPY,265.0899963378906,call,2018-04-20,2018-04-10,280,0.07000000029802322,0.07999999821186066,0.1580165622634282,0.026627658650650865,-0.03999999910593033,0.053133045078259854
SPY,263.7099914550781,call,2018-04-20,2018-04-11,280,0.03999999910593033,0.05000000074505806,0.1672140191469194,0.01714280469838586,0.029999997466802597,-0.0367462989557627
SPY,265.9002990722656,call,2018-04-20,2018-04-12,280,0.029999999329447746,0.03999999910593033,0.1540892746586761,0.01565254859730708,0.010000001639127731,0.03754801571083222
SPY,265.1099853515625,call,2018-04-20,2018-04-13,280,0.009999999776482582,0.029999999329447746,0.16377828010013876,0.009748180066814494,0.009999999776482582,-0.012370423920424239
SPY,267.3699951171875,call,2018-04-20,2018-04-16,280,0.019999999552965164,0.029999999329447746,0.16137657182868423,0.013236953410993846,0,0.02203098214807172
SPY,270.1300048828125,call,2018-04-20,2018-04-17,280,0.019999999552965164,0.029999999329447746,0.1509822162073747,0.01582340957373002,0,0.03653412068146617
SPY,270.3699951171875,call,2018-04-20,2018-04-18,280,0,0.009999999776482582,0.14848346413336655,0.004478132350034636,0.019999999552965164,0.003797463772211086
SPY,268.8699951171875,call,2018-04-20,2018-04-19,280,0,0.009999999776482582,0.2441489289141674,0.0039284893190245085,0,-0.006717198525051954
SPY,266.6600036621094,call,2018-04-20,2018-04-20,280,0,0,0,0,0.009999999776482582,-0.008681927826409846
SPY,266.6600036621094,call,2018-05-18,2018-04-20,272,1.7100000381469727,1.7300000190734863,0.1204949554769241,0.30315053892224203,-0.019999980926513672,0
SPY,266.57000732421875,call,2018-05-18,2018-04-23,272,1.5700000524520874,1.590000033378601,0.11657243200324456,0.29702197297078475,0.13999998569488525,-0.02728243833257116
SPY,263.0400085449219,call,2018-05-18,2018-04-24,272,0.8399999737739563,0.8700000047683716,0.12545407718768056,0.18087557445791758,0.7200000286102295,-1.0484872020112195
SPY,263.6300048828125,call,2018-05-18,2018-04-25,272,0.9800000190734863,0.9900000095367432,0.1290474809678119,0.20184354705447277,-0.12000000476837158,0.10671592654403445
SPY,266.239990234375,call,2018-05-18,2018-04-26,272,1.4700000286102295,1.4900000095367432,0.1222248162115371,0.29100730106667816,-0.5,0.5268087011195901
